Time	accX	accY	accZ	spinSpeed
2025-03-19 15:03:35.566	39.000	999.000	4.000	NaN
2025-03-19 15:03:35.567	39.000	998.000	8.000	NaN
2025-03-19 15:03:35.567	39.000	998.000	9.000	NaN
2025-03-19 15:03:35.567	39.000	999.000	7.000	NaN
2025-03-19 15:03:35.567	39.000	999.000	7.000	NaN
2025-03-19 15:03:35.567	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.568	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.568	38.000	1000.000	7.000	NaN
2025-03-19 15:03:35.568	39.000	1001.000	8.000	NaN
2025-03-19 15:03:35.568	40.000	1001.000	7.000	NaN
2025-03-19 15:03:35.568	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.569	37.000	1001.000	4.000	NaN
2025-03-19 15:03:35.569	37.000	1001.000	4.000	NaN
2025-03-19 15:03:35.569	36.000	1000.000	6.000	NaN
2025-03-19 15:03:35.569	35.000	1000.000	4.000	NaN
2025-03-19 15:03:35.569	36.000	1001.000	3.000	NaN
2025-03-19 15:03:35.570	36.000	1002.000	4.000	NaN
2025-03-19 15:03:35.570	38.000	1005.000	5.000	NaN
2025-03-19 15:03:35.570	40.000	1004.000	6.000	NaN
2025-03-19 15:03:35.570	40.000	1004.000	6.000	NaN
2025-03-19 15:03:35.570	39.000	1002.000	5.000	NaN
2025-03-19 15:03:35.570	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.571	39.000	1000.000	7.000	NaN
2025-03-19 15:03:35.571	40.000	1001.000	9.000	NaN
2025-03-19 15:03:35.571	40.000	1003.000	8.000	NaN
2025-03-19 15:03:35.571	38.000	1002.000	6.000	NaN
2025-03-19 15:03:35.571	37.000	1001.000	6.000	NaN
2025-03-19 15:03:35.572	37.000	1001.000	6.000	NaN
2025-03-19 15:03:35.572	39.000	1003.000	5.000	NaN
2025-03-19 15:03:35.572	38.000	1007.000	3.000	NaN
2025-03-19 15:03:35.572	37.000	1007.000	2.000	NaN
2025-03-19 15:03:35.572	37.000	1004.000	5.000	NaN
2025-03-19 15:03:35.573	38.000	1003.000	5.000	NaN
2025-03-19 15:03:35.573	37.000	1003.000	3.000	NaN
2025-03-19 15:03:35.573	37.000	1003.000	3.000	NaN
2025-03-19 15:03:35.573	37.000	1002.000	3.000	NaN
2025-03-19 15:03:35.573	37.000	1000.000	4.000	NaN
2025-03-19 15:03:35.573	38.000	1001.000	6.000	NaN
2025-03-19 15:03:35.574	38.000	1001.000	7.000	NaN
2025-03-19 15:03:35.574	36.000	999.000	6.000	NaN
2025-03-19 15:03:35.574	38.000	997.000	5.000	NaN
2025-03-19 15:03:35.574	40.000	998.000	4.000	NaN
2025-03-19 15:03:35.574	40.000	998.000	4.000	NaN
2025-03-19 15:03:35.575	39.000	999.000	4.000	NaN
2025-03-19 15:03:35.575	38.000	999.000	6.000	NaN
2025-03-19 15:03:35.575	39.000	999.000	7.000	NaN
2025-03-19 15:03:35.575	40.000	1001.000	7.000	NaN
2025-03-19 15:03:35.575	40.000	1002.000	7.000	NaN
2025-03-19 15:03:35.575	42.000	1001.000	9.000	NaN
2025-03-19 15:03:35.576	42.000	1001.000	9.000	NaN
2025-03-19 15:03:35.576	43.000	999.000	8.000	NaN
2025-03-19 15:03:35.576	42.000	998.000	5.000	NaN
2025-03-19 15:03:35.576	41.000	998.000	5.000	NaN
2025-03-19 15:03:35.576	40.000	998.000	8.000	NaN
2025-03-19 15:03:35.576	39.000	999.000	8.000	NaN
2025-03-19 15:03:35.577	40.000	1000.000	9.000	NaN
2025-03-19 15:03:35.577	40.000	999.000	10.000	NaN
2025-03-19 15:03:35.577	40.000	999.000	10.000	NaN
2025-03-19 15:03:35.577	40.000	998.000	10.000	NaN
2025-03-19 15:03:35.577	40.000	999.000	10.000	NaN
2025-03-19 15:03:35.577	40.000	1000.000	10.000	NaN
2025-03-19 15:03:35.578	40.000	1000.000	8.000	NaN
2025-03-19 15:03:35.578	40.000	1001.000	7.000	NaN
2025-03-19 15:03:35.578	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.578	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.578	41.000	999.000	6.000	NaN
2025-03-19 15:03:35.579	40.000	997.000	6.000	NaN
2025-03-19 15:03:35.579	39.000	997.000	6.000	NaN
2025-03-19 15:03:35.579	38.000	997.000	7.000	NaN
2025-03-19 15:03:35.579	41.000	997.000	7.000	NaN
2025-03-19 15:03:35.579	40.000	996.000	7.000	NaN
2025-03-19 15:03:35.579	39.000	998.000	7.000	NaN
2025-03-19 15:03:35.580	39.000	998.000	7.000	NaN
2025-03-19 15:03:35.580	40.000	1002.000	4.000	NaN
2025-03-19 15:03:35.580	39.000	1002.000	2.000	NaN
2025-03-19 15:03:35.580	39.000	999.000	4.000	NaN
2025-03-19 15:03:35.580	40.000	998.000	6.000	NaN
2025-03-19 15:03:35.580	41.000	999.000	8.000	NaN
2025-03-19 15:03:35.581	41.000	1001.000	9.000	NaN
2025-03-19 15:03:35.581	41.000	1001.000	9.000	NaN
2025-03-19 15:03:35.581	40.000	1001.000	7.000	NaN
2025-03-19 15:03:35.581	38.000	999.000	6.000	NaN
2025-03-19 15:03:35.581	38.000	997.000	5.000	NaN
2025-03-19 15:03:35.582	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.582	39.000	999.000	7.000	NaN
2025-03-19 15:03:35.582	38.000	998.000	6.000	NaN
2025-03-19 15:03:35.582	38.000	998.000	6.000	NaN
2025-03-19 15:03:35.582	38.000	1000.000	3.000	NaN
2025-03-19 15:03:35.582	39.000	1001.000	2.000	NaN
2025-03-19 15:03:35.583	40.000	1003.000	2.000	NaN
2025-03-19 15:03:35.583	41.000	1005.000	1.000	NaN
2025-03-19 15:03:35.583	41.000	1004.000	3.000	NaN
2025-03-19 15:03:35.583	39.000	1003.000	4.000	NaN
2025-03-19 15:03:35.583	39.000	1003.000	4.000	NaN
2025-03-19 15:03:35.584	38.000	1002.000	4.000	NaN
2025-03-19 15:03:35.584	39.000	1004.000	5.000	NaN
2025-03-19 15:03:35.584	40.000	1004.000	5.000	NaN
2025-03-19 15:03:35.584	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.584	39.000	1000.000	6.000	NaN
2025-03-19 15:03:35.584	37.000	1002.000	3.000	NaN
2025-03-19 15:03:35.585	37.000	1002.000	3.000	NaN
2025-03-19 15:03:35.585	37.000	1003.000	1.000	NaN
2025-03-19 15:03:35.585	38.000	1003.000	0.000	NaN
2025-03-19 15:03:35.585	38.000	1000.000	2.000	NaN
2025-03-19 15:03:35.585	38.000	998.000	5.000	NaN
2025-03-19 15:03:35.586	39.000	1000.000	3.000	NaN
2025-03-19 15:03:35.586	39.000	1002.000	2.000	NaN
2025-03-19 15:03:35.586	36.000	1001.000	3.000	NaN
2025-03-19 15:03:35.586	36.000	1001.000	3.000	NaN
2025-03-19 15:03:35.586	36.000	999.000	5.000	NaN
2025-03-19 15:03:35.586	38.000	999.000	5.000	NaN
2025-03-19 15:03:35.587	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.587	40.000	1002.000	7.000	NaN
2025-03-19 15:03:35.587	39.000	1002.000	8.000	NaN
2025-03-19 15:03:35.587	38.000	1000.000	7.000	NaN
2025-03-19 15:03:35.587	38.000	1000.000	7.000	NaN
2025-03-19 15:03:35.588	38.000	1001.000	7.000	NaN
2025-03-19 15:03:35.588	37.000	1003.000	6.000	NaN
2025-03-19 15:03:35.588	35.000	1002.000	5.000	NaN
2025-03-19 15:03:35.588	37.000	1002.000	5.000	NaN
2025-03-19 15:03:35.588	40.000	1003.000	4.000	NaN
2025-03-19 15:03:35.589	40.000	1002.000	5.000	NaN
2025-03-19 15:03:35.589	40.000	1002.000	5.000	NaN
2025-03-19 15:03:35.589	42.000	1001.000	5.000	NaN
2025-03-19 15:03:35.589	41.000	1000.000	4.000	NaN
2025-03-19 15:03:35.589	39.000	1000.000	6.000	NaN
2025-03-19 15:03:35.589	39.000	1002.000	7.000	NaN
2025-03-19 15:03:35.590	40.000	1003.000	7.000	NaN
2025-03-19 15:03:35.590	40.000	1003.000	9.000	NaN
2025-03-19 15:03:35.590	40.000	1003.000	9.000	NaN
2025-03-19 15:03:35.590	40.000	1003.000	10.000	NaN
2025-03-19 15:03:35.590	41.000	1001.000	8.000	NaN
