检查报告																									
公司:		深圳力合精密装备科技有限公司																							
操作员:																									
日期:		2025年5月16日																							
时间:		12:09:13																							
工件温度:		20.0C																							
																									
PT1				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
Y	113.3992	113.7284	0.3292	0.0000	0.0000	0.3292																			
Z	-1.4806	-1.4828	-0.0022	0.0000	0.0000	-0.0022																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT23				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	113.9694	113.9797	0.0103	0.0000	0.0000	0.0103																			
Y	113.2469	113.5824	0.3356	0.0000	0.0000	0.3356																			
Z	-1.4801	-1.4820	-0.0019	0.0000	0.0000	-0.0019																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT24				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	118.9331	118.9434	0.0103	0.0000	0.0000	0.0103																			
Y	113.0944	113.4260	0.3316	0.0000	0.0000	0.3316																			
Z	-1.4796	-1.4818	-0.0023	0.0000	0.0000	-0.0023																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT25				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	123.8957	123.9065	0.0108	0.0000	0.0000	0.0108																			
Y	112.9420	113.2942	0.3521	0.0000	0.0000	0.3521																			
Z	-1.4790	-1.4810	-0.0020	0.0000	0.0000	-0.0020																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT26				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	128.8594	128.8703	0.0109	0.0000	0.0000	0.0109																			
Y	112.7896	113.1366	0.3470	0.0000	0.0000	0.3470																			
Z	-1.4785	-1.4808	-0.0023	0.0000	0.0000	-0.0023																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT27				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	133.8221	133.8326	0.0106	0.0000	0.0000	0.0106																			
Y	112.6372	112.9841	0.3469	0.0000	0.0000	0.3469																			
Z	-1.4780	-1.4801	-0.0021	0.0000	0.0000	-0.0021																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT28				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	138.7857	138.7966	0.0108	0.0000	0.0000	0.0108																			
Y	112.4848	112.8327	0.3479	0.0000	0.0000	0.3479																			
Z	-1.4775	-1.4799	-0.0023	0.0000	0.0000	-0.0023																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
